S.NO/Digits,Input State,APU,MAIN LG,2XA,22XN,BTC                           Lockout,BUS TIE PB                      10XU ,3XS,4XS,3XG,5XG,SMOKE Config Button    13XU,Gen1 Ready (10J),GEN1 PB ON,GEN2 Ready(10J),GEN2 PB ON
306,30.6,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
307,30.7,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
308,30.8,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
309,30.9,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
310,31,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0
311,31.1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1
312,31.2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
313,31.3,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
314,31.4,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
315,31.5,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1
316,31.6,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
317,31.7,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
318,31.8,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
319,31.9,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
320,32,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
321,32.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
322,32.2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
323,32.3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
324,32.4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
325,32.5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
326,32.6,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
327,32.7,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
328,32.8,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
329,32.9,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
330,33,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
331,33.1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
332,33.2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
333,33.3,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1
334,33.4,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
335,33.5,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
336,33.6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
337,33.7,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
338,33.8,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
339,33.9,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
340,34,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
341,34.1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
342,34.2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
343,34.3,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1
344,34.4,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
345,34.5,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
346,34.6,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0
347,34.7,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1
348,34.8,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0
349,34.9,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1
350,35,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0
351,35.1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
352,35.2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
353,35.3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
354,35.4,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
355,35.5,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
356,35.6,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
357,35.7,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
